Species,ScientificName,Year,Hours,Herbicide,Treatment area/inf.acres,Treatment area m2,Treatment size/stems,Treatment size/kg,Notes
FRAALN,Frangula alnus,2016,881.5,474.618,1.89877,,,,
FRAALN,Frangula alnus,2017,984.5,659.8425,2.58245,,,,
FRAALN,Frangula alnus,2018,706.02,575.174,1.824366,,,,
HERMAN,Heracleum mantegazz.,2003,1,,,,12,,
HERMAN,Heracleum mantegazz.,2004,1.83,17.9,,,,,
HERMAN,Heracleum mantegazz.,2006,2.5,7,,,1001,,"Only one plant at Stanley, the rest at Compass Harbor"
HERMAN,Heracleum mantegazz.,2008,7.42,9.78,,,54,,
HERMAN,Heracleum mantegazz.,2009,12,7.07,,75,701,,
HERMAN,Heracleum mantegazz.,2010,21,7.8,,206,93,,
HERMAN,Heracleum mantegazz.,2011,19.4,4.5,,224,,,mostly Stanley brook
HERMAN,Heracleum mantegazz.,2014,5,3.84,0.0600425,,,,"Liquor locker accounts for - 2 hours, 2.88 oz. herb, and 0.005 inf. acres"
HERMAN,Heracleum mantegazz.,2015,9.5,12.9,0.0502,,,,
HERMAN,Heracleum mantegazz.,2016,0.75,0.69,0.0008,,,,Just Liquor Locker
HERMAN,Heracleum mantegazz.,2017,2.5,0.69,0.002,,,,"Mostly Liquor Locker, one visit to Stanley Brook on 8/7/17, but no hours, herb. Or inf/ac provided."
HERMAN,Heracleum mantegazz.,2018,1.5,0.03,0.000136,,,,
HESMAT,,2018,0,0,0.000047,,,,
IRIPSE,,2018,0,0,0.00014,,,,
LIGSPP,,2018,27,46.25,0.09149,,,,
LONMAA,,2018,0.75,0.1,0.000272,,,,
LONSPP,Lonicera spp.,2003,42,8.91,,,867,,
LONSPP,Lonicera spp.,2004,12,2.64,,,1000,,
LONSPP,Lonicera spp.,2005,24,40,,,,,
LONSPP,Lonicera spp.,2006,91.8,43,,,,,
LONSPP,Lonicera spp.,2010,48,,,3300,,,
LONSPP,Lonicera spp.,2011,295,13,,4810,,,
LONSPP,Lonicera spp.,2013,262.75,119.75,0.427425,,,,
LONSPP,Lonicera spp.,2014,411.5,243.5,1.4694125,,,,
LONSPP,Lonicera spp.,2015,423.25,168.65,0.85692,,,,
LONSPP,Lonicera spp.,2016,81.325,32.4325,0.2207,,,,
LONSPP,Lonicera spp.,2017,163.75,117.5025,0.367866,,,,
LONSPP,Lonicera spp.,2018,194.66,107.325,0.31999,,,,
LYTSAL,Lythrum salicaria,1988,,50.56,,,,,
LYTSAL,Lythrum salicaria,1989,73,26.752,,,,,
LYTSAL,Lythrum salicaria,1990,102.25,39.04,,,,,
LYTSAL,Lythrum salicaria,1991,129.7,19.776,,,,,
LYTSAL,Lythrum salicaria,1992,115.25,31.9872,,,,,
LYTSAL,Lythrum salicaria,1993,132,15.8,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1994,130.5,36.48,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1995,81,7.36,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1996,70,19.39,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1997,103.5,20,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1998,50.75,9.13,,,,,1% RODEO mix used
LYTSAL,Lythrum salicaria,1999,52.25,9.13,,,1303,,1% RODEO mix used
LYTSAL,Lythrum salicaria,2000,71.25,6.78,,,1485,,1% RODEO mix used
LYTSAL,Lythrum salicaria,2001,61.5,7.42,,,2617,,1% RODEO mix used
LYTSAL,Lythrum salicaria,2002,55.6,4.58,,,2700,,1% RODEO mix used
LYTSAL,Lythrum salicaria,2003,75.9,5.18,,,1357,,
LYTSAL,Lythrum salicaria,2004,94.4,2.87,,,1488,,
LYTSAL,Lythrum salicaria,2005,93.1,7.6,,,1725,,
LYTSAL,Lythrum salicaria,2006,97.67,6.68,,,1001,,
LYTSAL,Lythrum salicaria,2008,116.5,11.65,,,2125,,Using 1% glyphosate solution (Rodeo)
LYTSAL,Lythrum salicaria,2009,9.8,4.6,,5000,,,
LYTSAL,Lythrum salicaria,2010,80.5,0.128,,144,364,,amount of herbicide not available
LYTSAL,Lythrum salicaria,2011,41.5,2.7,,,,,
LYTSAL,Lythrum salicaria,2012,181,30.75,,,,,
LYTSAL,Lythrum salicaria,2014,43.5,11.43,0.0428,,,,
LYTSAL,Lythrum salicaria,2015,29.75,8.22,0.0315,,,,
LYTSAL,Lythrum salicaria,2016,63.75,8.94,0.0238,,,,
LYTSAL,Lythrum salicaria,2017,76.3,7.62,0.019572,,,,
LYTSAL,Lythrum salicaria,2018,58.25,7.203,0.024648,,,,
ROBPSE,,2018,0.25,0.1,0.000677,,,,
ROSMUL,,2018,16,9.925,0.021775,,,,
TUSFAR,,2018,23,0.3,0.002621,,,,
VERTHA,,2018,0.5,0,0.01028,,,,
